20,0,0,0,0,0,0
10,10,7.5,5,3.125,1.875,1.0938
5,5,5,4.375,3.4375,2.5,1.7188
2.5,2.5,2.5,2.5,2.3438,2.0312,1.6406
1.25,1.25,1.25,1.25,1.25,1.2109,1.1133
0.625,0.625,0.625,0.625,0.625,0.625,0.61523
0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625
